timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 2 6 14 4 13 8 5 0 13 4 14 3 8
4 3 7 13 5 14 10 7 1 12 6 14 4 8
5 6 8 11 7 12 12 8 1 12 7 12 5 11
6 6 8 13 7 11 14 8 1 11 8 10 6 12
7 7 11 10 8 11 15 8 0 11 8 10 8 12
8 10 10 11 8 10 13 8 0 11 9 9 7 13
9 10 11 11 8 10 12 8 0 11 9 9 7 13
10 10 11 10 8 10 13 8 1 10 9 9 8 12
11 10 11 10 9 8 13 8 1 9 10 9 8 12
12 10 10 9 8 10 13 8 1 9 10 9 9 11
13 11 10 9 8 10 13 8 1 9 10 9 9 11
14 11 10 9 8 9 13 8 1 10 10 8 9 11
15 11 10 10 8 8 13 8 1 11 10 7 8 12
16 10 10 10 8 8 13 9 1 10 10 7 8 12
17 10 10 10 8 8 13 9 1 10 10 7 8 12
18 10 11 10 8 8 13 9 1 10 10 7 8 12
19 10 10 10 8 8 13 9 1 10 10 7 8 12
20 10 10 10 8 8 13 9 1 10 10 7 8 12
21 9 10 10 8 8 14 9 1 10 10 7 7 13
22 10 11 10 8 8 13 9 1 10 10 7 7 13
23 10 11 10 8 8 13 8 1 12 10 6 7 13
