#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 5 0 10 6
2 0 0 5 0 10 6
3 2 1 4 4 6 8
4 3 2 3 5 5 7
5 3 3 2 5 5 7
6 3 4 2 4 5 7
7 3 4 2 4 5 7
8 3 3 4 4 4 7
9 3 3 3 5 4 7
10 3 4 2 5 4 7
11 3 3 2 5 5 7
12 4 3 3 4 4 6
13 4 3 3 4 4 6
14 4 3 3 3 5 6
15 4 3 3 5 4 6
16 4 3 3 5 4 6
17 4 4 2 4 5 6
18 4 4 2 4 5 6
19 4 4 3 4 4 6
20 5 3 3 4 4 6
21 5 3 3 4 4 6
22 5 3 3 4 4 6
23 5 3 3 4 4 6
24 5 3 3 4 4 6
25 5 3 2 5 4 6
26 5 3 2 4 5 6
27 5 3 2 4 5 6
28 5 3 2 4 5 6
29 5 3 2 5 4 6
30 5 3 2 5 4 6
31 5 3 2 5 4 6
32 5 3 2 4 5 6
33 5 3 2 4 5 6
34 5 3 2 4 5 6
35 5 3 2 4 5 6
36 5 3 2 4 5 6
37 5 2 2 4 6 6
38 5 2 2 4 6 6
39 5 2 2 4 6 6
40 4 2 2 5 5 7
41 4 2 2 5 5 7
42 4 2 2 6 4 7
43 4 2 2 5 5 7
44 4 2 3 5 4 7
45 4 2 3 4 5 7
46 4 2 3 4 5 7
47 4 2 3 5 4 7
48 4 3 2 5 4 7
49 4 3 2 5 4 7
50 4 2 2 5 5 7
51 4 2 2 5 5 7
52 4 2 3 4 5 7
53 4 3 2 4 5 7
54 4 3 3 3 5 7
55 4 3 3 3 5 7
56 4 3 3 4 4 7
57 4 3 3 4 4 7
58 3 3 3 4 4 8
59 3 3 3 4 4 8
60 3 3 3 4 4 8
61 3 4 2 4 4 8
62 3 4 2 4 4 8
63 3 4 2 4 4 8
64 3 4 2 4 4 8
65 3 4 2 5 3 8
66 3 4 2 5 3 8
67 3 4 2 5 3 8
68 3 4 2 5 3 8
69 3 4 3 4 3 8
70 3 4 3 4 3 8
71 3 3 3 5 3 8
72 4 3 3 4 3 8
73 5 2 3 4 3 8
74 5 2 3 4 3 8
75 5 2 3 4 3 7
76 5 3 2 4 3 7
77 5 2 3 4 3 7
78 4 2 3 4 3 8
79 4 1 4 4 3 9
80 4 1 4 4 3 9
81 4 3 3 3 3 9
82 4 3 3 4 2 9
83 4 3 3 4 2 9
84 4 3 3 4 2 9
85 4 4 2 3 3 9
86 4 4 2 3 3 9
87 4 3 2 3 3 9
