#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 10 0 10 6
2 0 0 10 0 10 6
3 2 4 6 4 6 8
4 2 2 7 5 5 9
5 4 4 5 6 3 8
6 4 4 5 5 4 8
7 4 4 5 4 4 9
8 4 4 6 5 3 8
9 4 3 6 5 3 8
10 3 4 7 5 2 9
11 5 4 7 4 3 7
12 5 5 5 4 4 7
13 5 6 4 4 4 7
14 5 5 5 4 4 7
15 5 5 4 5 3 8
16 5 5 4 4 4 8
17 5 5 3 6 3 8
18 4 5 3 6 2 9
19 4 3 7 6 2 8
20 4 4 6 6 2 8
21 5 3 6 5 3 7
22 4 4 5 6 3 8
23 4 3 6 6 3 8
24 4 4 5 5 4 8
25 4 4 5 5 4 8
26 4 4 5 4 5 8
27 3 3 6 7 3 8
28 3 5 5 6 3 8
29 3 4 6 6 3 8
30 3 4 5 6 4 8
31 5 3 5 6 4 7
32 5 3 5 6 4 7
33 5 3 5 6 4 7
34 5 4 3 5 6 7
35 5 6 2 4 6 7
36 5 5 3 5 5 7
37 6 5 4 4 6 5
38 5 5 4 4 6 6
39 3 3 5 5 6 8
40 3 3 5 5 6 8
41 4 3 5 4 7 7
42 4 2 6 4 7 7
43 2 2 6 4 7 9
44 3 4 4 4 7 8
45 3 5 3 4 7 8
46 4 5 3 3 8 7
47 3 4 4 4 7 8
48 3 4 5 4 7 7
49 3 5 4 5 6 7
50 3 4 3 5 7 8
51 4 4 5 5 6 6
52 4 4 4 6 6 6
53 3 3 5 6 6 7
54 2 4 3 6 7 8
55 4 5 3 6 6 6
56 4 6 2 6 6 6
57 4 6 2 6 6 6
58 4 5 3 5 7 6
59 4 4 4 5 7 6
60 3 5 3 5 7 7
61 4 5 3 5 7 6
62 4 5 3 4 8 6
63 3 4 3 6 7 7
64 4 4 3 6 7 6
65 5 5 2 6 7 5
66 4 4 2 6 8 6
67 4 5 1 6 8 6
68 4 5 1 6 7 6
69 4 4 2 6 8 6
70 5 5 1 6 8 5
71 4 5 1 7 7 6
72 5 4 1 7 6 5
73 5 4 2 8 5 5
74 5 5 1 8 6 5
75 5 5 1 6 8 5
76 5 5 1 6 8 5
77 6 5 1 7 7 4
78 6 5 2 6 7 4
79 5 5 1 4 10 5
80 5 4 3 7 6 5
81 5 3 4 7 6 5
82 5 3 4 5 8 5
83 5 3 4 6 7 5
84 5 3 4 7 6 5
85 5 3 4 6 7 5
86 6 3 2 6 7 5
87 5 3 2 6 7 6
88 5 3 3 7 6 6
89 5 4 1 8 6 6
90 6 4 1 7 7 5
91 3 4 1 7 7 8
92 4 4 1 8 6 7
93 4 4 1 7 7 7
94 4 4 2 7 6 7
95 4 4 2 7 6 7
96 4 5 2 9 4 6
97 4 5 2 9 4 6
98 4 5 3 8 4 6
99 4 5 3 8 4 6
100 4 5 3 8 4 6
101 4 4 3 9 3 6
102 4 4 3 8 4 6
103 4 4 3 8 4 6
104 4 4 3 8 4 6
105 4 5 1 8 4 7
106 5 4 1 9 3 7
107 5 4 1 8 4 7
108 5 5 0 9 3 7
109 6 4 0 9 4 7
110 6 4 1 8 4 6
111 6 4 2 8 3 6
112 6 4 2 8 3 6
113 7 4 3 7 3 5
114 7 5 3 7 3 5
115 8 4 3 7 3 5
116 8 4 3 6 3 4
117 7 5 3 6 3 5
118 6 5 3 7 2 6
119 6 5 3 7 2 6
120 6 6 3 6 2 6
121 5 7 3 6 2 6
122 6 6 3 5 4 5
123 6 6 5 5 2 5
124 6 6 4 5 2 6
125 8 5 5 5 2 4
126 7 7 4 5 2 4
127 7 7 4 5 2 4
128 6 7 4 4 3 6
129 7 6 4 5 2 6
130 6 7 5 4 2 6
131 6 7 5 4 2 6
132 7 7 5 4 2 5
133 7 7 6 4 2 4
134 7 9 4 3 3 4
135 7 9 5 3 2 4
136 7 10 2 4 2 5
137 6 8 5 4 1 6
138 7 9 4 4 1 5
139 7 9 5 4 0 5
140 7 9 5 3 1 5
141 7 10 5 3 0 5
142 7 9 5 4 0 5
143 6 10 4 4 0 6
144 5 9 5 4 0 7
145 8 10 4 4 0 4
146 8 8 5 4 0 5
147 8 8 5 4 0 5
148 8 8 5 4 0 5
149 9 8 4 4 0 4
150 8 9 3 4 0 5
151 8 8 4 4 0 6
152 9 8 4 4 0 5
153 8 8 4 4 0 6
154 10 8 4 4 0 4
155 10 8 4 4 0 4
