#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 2 4 16 5 13 10
4 3 4 16 7 13 9
5 3 9 11 9 10 12
6 5 7 12 9 9 14
7 6 7 13 9 8 16
8 8 7 12 10 7 16
9 8 8 12 8 8 16
10 9 8 12 9 7 15
11 11 8 11 8 8 13
12 11 8 10 9 7 15
13 11 7 11 9 7 15
14 11 6 12 10 6 15
15 10 8 11 9 6 16
16 10 8 10 8 7 16
17 10 8 10 8 6 16
18 10 10 10 8 6 15
19 10 9 11 10 5 15
20 10 8 10 9 6 17
21 10 8 12 9 6 15
22 9 8 11 8 7 16
23 10 8 11 7 8 16
24 10 8 11 9 6 16
25 10 9 10 8 7 16
26 10 10 10 9 5 16
27 10 9 10 9 6 16
28 11 9 10 10 5 15
29 10 9 10 10 5 16
30 10 10 9 10 5 16
31 10 9 10 9 6 16
32 10 9 10 9 6 16
33 11 9 8 9 7 15
34 11 10 9 9 6 14
35 10 10 8 10 5 16
36 10 9 9 7 8 16
37 10 9 9 9 6 16
38 10 10 9 10 5 15
39 10 9 10 8 7 15
40 11 8 10 9 6 14
41 10 8 10 9 7 15
42 10 8 9 9 8 15
43 10 8 9 10 7 15
44 9 8 8 11 7 16
45 9 8 8 10 8 16
46 9 7 9 8 9 16
47 9 7 9 8 10 16
48 9 8 8 8 10 16
49 9 7 9 9 9 16
50 11 8 9 7 10 13
51 9 8 9 7 10 16
52 9 8 9 6 11 16
53 11 7 9 9 9 15
54 11 9 7 9 9 15
55 11 8 9 9 8 14
56 10 8 9 7 10 16
57 10 7 10 8 9 16
58 10 8 10 7 10 15
59 10 8 10 8 9 15
60 11 7 9 7 11 14
61 10 6 10 8 10 15
62 11 8 9 9 9 13
63 11 8 9 7 11 13
64 10 9 8 10 9 13
65 10 9 8 10 9 13
66 10 7 8 10 9 14
67 10 8 7 12 8 14
68 11 7 8 10 10 14
69 10 7 8 10 10 15
70 10 6 10 11 9 14
71 10 9 8 9 10 14
72 10 9 9 8 11 13
73 10 9 9 9 10 13
74 11 9 9 8 11 12
75 11 8 9 9 11 12
76 10 10 7 10 10 13
77 10 10 7 9 11 13
78 9 10 6 9 12 14
79 9 10 7 9 11 14
80 11 9 8 9 11 11
81 10 8 8 9 11 12
82 10 8 8 9 12 12
83 11 9 6 9 12 12
84 10 10 7 9 11 13
85 11 9 9 8 11 12
86 11 7 10 9 10 12
87 10 7 10 9 10 13
88 9 7 8 10 10 14
89 10 9 8 10 10 12
90 10 10 9 10 9 12
91 11 11 9 9 9 11
92 11 11 8 9 10 11
93 11 11 8 10 9 11
94 11 11 7 9 10 11
95 11 11 7 10 9 11
96 11 10 8 9 11 11
97 10 9 9 9 11 12
98 11 9 9 9 11 11
99 10 12 6 12 8 12
100 10 10 8 12 8 12
101 10 9 8 12 8 12
102 10 10 9 11 8 12
103 10 9 9 9 11 12
104 11 10 8 9 10 12
105 11 9 9 9 10 12
106 10 11 5 10 11 13
107 10 11 5 10 11 13
108 10 11 4 10 11 13
109 10 10 6 11 9 12
110 10 9 8 10 10 12
111 10 10 7 10 10 12
112 10 8 8 10 9 13
113 10 9 6 9 9 14
114 10 10 6 9 10 14
115 12 9 8 9 10 11
116 12 7 9 11 9 11
117 12 9 7 11 9 11
118 11 9 6 11 10 12
119 11 9 6 11 9 12
120 11 11 6 10 9 11
121 11 12 6 11 8 11
122 10 12 7 11 8 11
123 10 11 7 12 6 12
124 10 11 7 12 6 12
125 10 11 8 12 6 12
126 10 11 7 12 7 12
127 8 12 7 11 7 13
128 8 13 7 10 7 13
129 8 13 8 10 7 13
130 8 13 7 10 7 14
131 11 13 7 10 7 11
132 11 12 7 10 8 10
133 12 11 8 10 7 10
134 12 11 8 11 6 11
135 12 11 8 11 6 11
136 12 11 7 10 7 12
137 12 10 8 12 5 12
138 12 11 7 11 7 11
139 12 11 8 11 6 11
140 12 11 8 11 6 11
141 13 13 6 10 7 10
142 13 11 9 10 6 10
143 12 11 9 10 6 11
144 11 11 10 11 4 11
145 12 11 9 11 5 10
146 11 12 9 10 5 11
147 11 10 11 10 5 11
148 11 12 9 9 6 11
149 11 12 9 9 5 12
150 12 12 9 9 5 11
151 12 12 8 9 6 10
152 12 13 7 9 7 10
153 12 13 8 9 7 10
154 13 13 8 9 7 9
155 13 13 8 9 7 9
156 12 13 9 9 7 9
157 12 13 8 9 8 9
158 12 13 8 10 7 9
159 12 11 9 10 7 9
160 12 11 9 10 7 9
161 12 11 9 10 7 9
162 12 12 8 10 7 9
163 12 12 8 11 5 9
164 12 12 7 11 5 9
165 13 12 7 11 6 7
166 13 11 7 11 6 9
167 13 13 7 11 6 8
168 13 14 6 11 6 8
169 13 12 8 11 6 7
170 12 12 8 11 6 8
171 12 12 8 11 6 8
172 12 13 8 11 6 8
173 12 14 8 11 6 8
174 12 14 9 11 5 8
175 12 13 9 10 6 9
176 13 15 8 9 7 7
177 14 15 7 10 7 6
178 14 15 7 10 7 6
179 14 14 8 10 7 6
180 14 13 9 10 7 6
181 14 13 8 10 7 6
