#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 5 0 5 5
2 0 0 5 0 5 5
3 0 0 5 0 5 5
4 2 1 4 1 4 3
5 2 1 5 1 3 3
6 2 3 3 1 2 3
7 3 2 4 1 2 3
8 3 2 4 1 2 3
9 3 2 4 1 2 3
10 3 3 3 1 2 3
11 3 3 3 1 2 3
12 3 3 3 1 2 3
13 3 3 3 1 2 3
14 3 3 3 1 2 3
15 3 3 3 1 2 3
16 3 3 3 1 2 3
17 3 3 3 1 2 3
18 3 3 3 1 2 3
19 3 3 3 1 2 3
20 3 3 3 1 2 3
21 3 3 3 1 2 3
22 3 3 3 1 2 3
23 3 3 3 1 2 3
24 3 3 3 1 2 3
25 3 3 2 1 2 3
26 3 3 2 1 2 3
27 3 3 2 1 2 3
28 3 3 2 1 2 3
29 3 3 2 1 2 3
30 3 3 2 1 2 3
31 3 3 2 1 2 3
32 3 3 2 1 2 3
33 3 3 2 1 2 3
34 4 3 2 1 2 2
35 4 3 2 1 2 2
36 4 3 3 1 2 2
37 4 3 3 1 2 2
38 4 3 3 1 2 2
39 4 3 3 1 2 2
40 4 3 3 1 2 2
41 4 3 3 1 2 2
42 4 3 3 1 2 2
43 4 3 3 1 2 2
44 4 3 3 1 2 2
45 4 3 3 1 2 2
46 4 3 3 1 2 2
47 4 3 3 1 2 2
48 4 3 3 1 2 2
49 4 3 3 1 2 2
50 4 3 3 1 2 2
51 4 3 3 1 2 2
52 4 3 3 1 2 2
53 4 3 3 1 2 2
54 4 3 3 1 2 2
55 4 3 3 1 2 2
56 4 3 3 1 2 2
57 4 3 3 1 2 2
58 4 3 3 1 2 2
59 4 3 3 1 2 2
60 4 3 3 1 2 2
61 4 3 3 1 2 2
62 4 3 3 1 2 2
63 4 3 3 1 2 2
64 4 3 3 1 2 2
65 4 3 3 1 2 2
66 4 3 3 1 2 2
67 4 3 3 1 2 2
68 4 3 3 1 2 2
69 4 3 3 1 2 2
70 4 3 3 1 2 2
71 4 3 3 1 2 2
72 4 3 3 1 2 2
73 4 3 3 1 2 2
74 4 3 3 1 2 2
75 4 3 3 1 2 2
76 4 3 3 1 2 2
77 4 3 3 1 2 2
78 4 3 3 1 2 2
79 4 3 3 1 2 2
80 4 3 3 1 2 2
81 4 3 3 1 2 2
82 4 3 3 1 2 2
83 4 3 3 1 2 2
84 4 3 3 1 2 2
85 4 3 3 1 2 2
86 4 3 3 1 2 2
87 4 3 3 1 2 2
88 4 3 3 1 2 2
89 4 3 3 1 2 2
90 4 3 3 1 2 2
91 4 3 3 1 2 2
92 4 3 3 1 2 2
93 4 3 3 1 2 2
94 4 3 3 1 2 2
95 4 3 3 1 2 2
96 4 3 3 1 2 2
97 4 3 3 1 2 2
98 4 3 3 1 2 2
99 4 3 3 1 2 2
100 4 3 3 1 2 2
101 4 3 3 1 2 2
102 4 3 3 1 2 2
103 4 3 3 1 2 2
104 4 3 3 1 2 2
105 4 3 3 1 2 2
106 4 3 3 1 2 2
107 4 3 3 1 2 2
108 4 3 3 1 2 2
109 4 3 3 1 2 2
110 4 3 3 1 2 2
111 4 3 3 1 2 2
112 4 3 3 1 2 2
113 4 3 3 1 2 2
114 4 3 3 1 2 2
115 4 3 3 1 2 2
116 4 3 3 1 2 2
117 4 3 3 1 2 2
118 4 3 3 1 2 2
119 4 3 3 1 2 2
120 4 3 3 1 2 2
121 4 3 3 1 2 2
122 4 3 3 1 2 2
123 4 3 3 1 2 2
124 4 3 3 1 2 2
125 4 3 3 1 2 2
126 4 3 3 1 2 2
