timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 1 3 7 3 14 11 3 0 13 3 7 1 11
4 1 3 7 3 17 11 3 0 17 3 7 1 11
5 3 3 7 6 14 12 6 0 14 5 5 4 13
6 4 4 7 7 13 13 8 0 14 4 4 4 14
7 4 5 7 7 13 14 8 1 13 4 4 7 13
8 5 5 7 7 13 13 8 1 14 4 3 7 13
9 7 5 7 7 13 11 8 1 14 4 3 7 13
10 9 5 8 7 13 8 8 1 14 4 3 7 13
11 8 5 9 7 13 8 7 1 14 5 3 7 13
12 7 6 9 7 13 8 8 1 13 5 3 7 13
13 6 6 9 7 13 9 8 1 13 5 3 8 12
14 6 6 9 7 13 9 8 1 13 5 3 8 12
15 6 6 9 7 13 9 8 2 12 4 4 7 13
16 5 6 9 7 13 10 8 2 12 5 3 7 13
17 5 6 10 7 13 9 9 2 11 5 3 8 12
18 6 6 10 8 12 8 9 2 12 5 2 6 14
19 5 6 10 8 13 9 10 1 11 5 2 6 14
20 5 6 11 8 13 8 10 1 11 4 3 8 12
21 5 6 10 8 14 8 11 1 10 4 3 8 12
22 5 7 10 8 12 8 11 2 10 3 4 9 11
23 5 7 10 9 12 8 11 1 10 4 3 8 12
24 5 7 10 9 12 8 10 1 11 4 3 8 12
25 5 7 10 8 13 8 10 1 11 4 3 9 11
26 5 7 10 8 13 8 10 1 11 4 3 10 10
27 5 7 10 8 13 8 9 1 11 4 4 10 10
28 5 7 10 8 13 8 8 1 12 4 4 10 10
29 5 7 10 8 13 8 8 1 12 5 4 10 9
30 5 7 9 8 13 8 9 1 11 5 4 10 9
31 5 7 9 8 13 8 9 1 11 4 5 10 9
32 5 7 9 8 13 8 9 1 11 4 5 10 9
33 5 7 9 8 13 8 8 1 12 4 5 10 9
34 5 7 9 8 13 8 9 1 11 3 6 10 9
35 5 7 9 8 13 7 10 1 10 4 5 9 10
36 5 7 9 8 13 7 10 1 10 3 5 12 8
37 5 7 8 8 13 8 10 1 9 3 6 10 10
38 5 7 9 8 13 8 10 1 9 3 6 10 10
39 5 7 9 8 13 8 9 1 10 3 6 10 10
40 6 7 9 8 13 7 8 1 12 3 5 11 9
41 6 7 9 8 13 7 9 2 10 3 5 10 10
42 5 8 9 8 13 7 10 1 10 3 5 10 10
43 6 7 9 8 13 7 10 1 10 2 6 10 10
44 7 6 9 8 13 7 10 1 10 3 6 9 10
45 7 6 9 8 13 7 9 1 11 3 6 8 11
46 7 6 9 8 13 7 9 1 11 3 6 8 11
47 6 6 9 8 13 8 8 1 11 3 6 8 12
