timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 3 6 14 4 6 8 4 0 6 5 13 2 10
4 5 8 10 5 5 9 4 1 6 7 12 2 10
5 7 10 8 5 6 10 4 0 6 10 9 5 11
6 9 10 7 5 6 12 6 0 6 9 8 6 12
7 11 9 8 5 6 13 7 0 5 9 8 8 13
8 14 8 8 5 6 14 7 0 5 10 7 10 14
9 14 8 8 5 6 17 6 0 7 10 6 11 16
10 17 8 9 5 6 16 7 0 7 9 7 12 16
11 17 8 8 5 6 17 7 0 7 9 7 14 15
12 17 10 7 5 6 16 6 0 8 9 7 15 14
13 18 10 7 5 6 15 7 0 7 9 7 15 14
14 18 10 7 5 6 15 8 0 6 10 6 15 14
15 18 10 7 5 6 15 8 0 6 10 6 16 13
16 19 10 7 5 6 14 8 0 6 10 6 14 15
17 20 10 7 5 6 13 8 0 6 10 6 14 15
18 20 10 7 5 6 13 8 0 6 10 6 14 15
19 19 10 7 5 6 14 8 0 6 10 6 14 15
20 19 10 7 5 6 14 8 0 6 10 6 14 15
21 18 10 8 5 6 14 8 0 6 10 6 14 15
22 19 9 8 5 6 14 8 0 6 10 6 14 15
23 19 9 8 5 6 14 8 0 6 10 6 13 16
24 19 9 8 5 6 14 8 0 6 10 6 13 16
25 19 8 9 5 6 14 8 0 6 10 6 13 16
26 21 8 9 5 6 12 8 0 6 10 6 13 16
27 19 8 9 5 6 14 8 0 6 10 6 13 16
28 19 8 9 5 6 14 8 0 6 10 6 13 16
29 19 9 9 5 6 13 8 0 6 10 6 13 16
30 20 10 8 5 6 12 8 0 6 10 6 13 16
31 20 10 8 5 6 12 8 0 6 10 6 13 16
