timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 0 10 0 6
3 1 3 7 3 14 11 3 0 13 3 7 1 11
4 1 3 7 3 17 11 3 0 17 3 7 1 11
5 3 3 7 6 14 12 6 0 14 5 5 4 13
6 4 4 7 7 13 13 8 0 14 4 4 4 14
7 4 5 7 7 13 14 8 1 13 4 4 7 13
8 5 5 7 7 13 13 8 1 14 4 3 7 13
9 7 5 7 7 13 11 8 1 14 4 3 7 13
10 6 5 9 7 13 10 9 1 13 4 3 7 13
11 5 5 10 7 13 10 9 1 13 4 3 7 13
12 5 6 9 8 12 10 8 1 13 5 3 7 13
13 7 6 9 8 12 8 8 1 13 5 3 7 13
14 7 7 8 8 12 8 9 1 12 5 3 7 13
15 6 7 8 8 12 9 8 1 13 4 4 7 13
16 6 7 8 8 12 9 8 1 13 5 3 7 13
17 7 6 9 7 13 8 9 1 12 5 3 7 13
18 6 6 10 8 12 8 10 1 11 5 3 6 14
19 5 6 10 8 12 9 10 1 10 5 3 7 13
20 6 6 10 8 12 8 10 1 10 4 4 7 13
21 6 6 10 8 12 8 10 1 11 4 3 7 13
22 6 6 10 8 12 8 10 1 11 4 3 8 12
23 6 6 10 8 12 8 8 1 12 5 3 8 12
24 6 6 10 8 12 8 8 1 12 4 4 8 12
25 6 5 11 7 13 8 9 1 11 5 3 8 12
26 7 5 11 7 13 7 9 1 11 5 3 8 12
27 7 5 11 7 14 7 9 1 10 5 3 8 12
28 7 5 11 7 14 7 9 1 10 5 3 8 12
29 6 7 9 7 14 8 10 0 10 4 4 7 13
30 7 7 9 7 14 7 10 0 10 4 5 7 12
31 7 7 9 7 14 7 10 0 11 4 4 8 12
32 7 6 10 7 14 7 10 0 11 4 4 8 12
33 7 5 11 7 14 7 9 0 12 4 4 8 12
34 6 5 11 7 14 8 10 0 11 3 5 7 13
35 6 5 11 7 14 8 10 0 11 3 5 9 11
36 6 5 11 8 12 8 9 1 12 3 5 9 11
37 6 5 11 8 12 8 10 1 10 4 5 9 11
38 6 5 11 8 12 8 10 1 10 3 6 8 12
39 6 5 11 8 12 8 10 1 10 3 7 8 11
40 6 5 11 8 12 8 10 1 11 2 7 8 11
41 6 5 11 8 12 8 11 1 10 2 7 8 11
42 6 5 11 8 12 8 11 1 9 3 6 7 13
43 6 5 11 8 12 8 11 1 9 3 6 7 13
44 6 5 11 8 12 8 10 1 10 3 6 8 12
45 6 5 11 8 12 8 8 1 12 4 5 8 12
46 6 5 11 8 12 8 7 1 13 4 5 8 12
47 6 5 11 8 12 8 7 1 13 5 4 9 11
