timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 12 0 10 6 0 0 10 0 10 0 6
2 0 0 12 0 10 6 0 0 10 0 10 0 6
3 3 6 14 4 6 8 4 0 6 5 13 2 10
4 5 8 10 5 5 9 4 1 6 7 12 2 10
5 7 10 8 5 6 10 4 0 6 10 9 5 11
6 9 10 7 5 6 12 6 0 6 9 8 6 12
7 11 9 8 5 6 13 7 0 5 9 8 8 13
8 14 8 8 5 6 14 7 0 5 10 7 10 14
9 14 8 8 5 6 17 6 0 7 10 6 11 16
10 17 8 9 5 6 16 7 0 7 9 7 12 16
11 17 8 8 5 6 17 7 0 7 9 7 14 15
12 17 10 7 5 6 16 6 0 8 9 7 15 14
13 18 10 7 5 6 15 7 0 7 9 7 15 14
14 18 10 7 5 6 15 8 0 6 10 6 15 14
15 18 10 7 5 6 15 8 0 6 10 6 16 13
16 19 10 7 5 6 14 8 0 6 10 6 14 15
17 20 10 7 5 6 13 8 0 6 10 6 14 15
18 20 10 7 5 6 13 8 0 6 10 6 14 15
19 19 10 7 5 6 14 8 0 6 10 6 14 15
20 19 10 7 5 6 14 8 0 6 10 6 14 15
21 18 10 8 5 6 14 8 0 6 10 6 14 15
22 19 9 8 5 6 14 8 0 6 10 6 14 15
23 19 9 8 5 6 14 8 0 6 10 6 13 16
24 19 9 8 5 6 14 8 0 6 10 6 13 16
25 19 8 9 5 6 14 8 0 6 10 6 13 16
26 21 8 9 5 6 12 8 0 6 10 6 13 16
27 19 8 9 5 6 14 8 0 6 10 6 13 16
28 19 8 9 5 6 14 8 0 6 10 6 13 16
29 19 9 9 5 6 13 8 0 6 10 6 13 16
30 20 10 8 5 6 12 8 0 6 10 6 13 16
31 20 10 8 5 6 12 8 0 6 10 6 13 16
32 20 10 8 5 6 12 8 0 6 10 6 13 16
33 20 11 7 5 6 12 8 0 6 10 6 13 16
34 20 10 9 5 5 12 8 0 6 10 6 13 16
35 20 9 9 5 5 12 8 0 6 10 6 13 16
36 20 9 9 5 5 12 8 0 6 10 6 12 17
37 20 10 9 5 5 12 8 0 6 10 6 13 16
38 20 10 9 5 5 12 8 0 6 10 6 12 17
39 19 10 9 5 5 13 8 0 6 10 6 13 16
40 19 10 9 5 5 13 8 0 6 10 6 14 15
41 19 10 9 5 5 13 8 0 6 10 6 14 15
42 19 10 9 5 5 13 8 0 6 10 6 14 15
43 19 10 9 5 5 13 8 0 6 10 6 14 15
44 19 10 8 5 5 13 8 0 6 10 6 14 15
45 19 10 9 5 4 13 8 0 6 11 6 13 15
46 19 10 9 5 4 13 8 0 6 11 6 13 15
47 19 10 9 5 4 13 8 0 6 11 6 13 15
48 19 10 9 5 4 13 8 0 6 11 6 13 15
49 19 10 9 5 4 13 8 0 6 11 6 13 15
50 19 10 9 5 4 13 8 0 6 11 6 13 15
51 19 10 9 5 4 13 8 0 6 11 6 13 15
52 19 10 9 5 4 13 8 0 6 11 6 12 16
53 19 10 9 5 4 13 8 0 6 11 6 12 16
54 19 10 9 5 4 13 8 0 6 11 6 12 16
55 19 10 9 5 4 13 8 0 6 11 6 12 16
56 19 10 9 5 4 13 8 0 6 11 6 12 16
57 19 10 10 5 4 12 8 0 6 11 6 12 16
58 19 10 10 5 4 12 8 0 6 11 7 12 15
59 18 10 10 5 4 13 8 0 6 11 7 12 15
60 18 10 10 5 4 13 8 0 6 11 7 12 15
61 18 10 10 5 4 13 8 0 6 11 7 12 15
62 18 10 10 5 4 13 8 0 6 11 7 12 15
63 18 10 10 5 4 13 8 0 6 11 7 12 15
64 18 10 10 5 4 13 8 0 6 11 7 12 15
65 18 10 10 5 4 13 8 0 6 11 7 12 15
66 18 10 10 5 4 13 8 0 6 11 7 12 15
67 18 10 10 5 4 13 8 0 6 11 7 12 15
68 18 10 10 5 4 13 8 0 6 11 7 12 15
69 18 10 10 5 4 13 8 0 6 11 7 12 15
70 18 10 10 5 4 13 8 0 6 11 7 12 15
71 18 10 10 5 4 13 8 0 6 11 7 12 15
72 18 10 10 5 4 13 8 0 6 11 7 12 15
73 18 10 10 5 4 13 8 0 6 11 7 12 15
74 18 10 10 5 4 13 8 0 6 11 7 12 15
75 18 10 10 5 4 13 7 0 7 11 7 12 15
76 18 10 10 5 4 13 7 0 7 11 7 12 15
77 18 10 10 5 4 13 7 0 7 11 7 12 15
78 18 10 10 5 4 13 7 0 7 11 7 12 15
79 18 10 10 5 4 13 7 0 7 11 7 12 15
80 17 10 10 5 4 14 7 0 7 11 7 12 15
81 17 10 10 5 4 14 7 0 7 11 7 12 15
82 17 10 10 5 4 14 7 0 7 11 7 12 15
83 17 10 10 5 4 14 8 0 6 11 7 12 15
84 17 10 10 5 4 14 8 0 6 11 7 12 15
85 17 10 10 5 4 14 8 0 6 11 7 12 15
86 17 10 10 5 4 14 8 0 6 11 7 12 15
87 17 10 10 5 4 14 8 0 6 11 7 12 15
88 17 10 10 5 4 14 8 0 6 11 7 12 15
89 17 10 10 5 4 14 8 0 6 11 7 12 15
90 17 10 10 5 4 14 8 0 6 11 7 12 15
91 17 10 10 5 4 14 8 0 6 11 7 12 15
92 17 10 10 5 4 14 8 0 6 11 7 12 15
93 17 10 10 5 4 14 8 0 6 11 7 12 15
94 17 10 10 5 4 14 8 0 6 11 7 12 15
95 17 10 10 5 4 14 8 0 6 11 7 12 15
96 17 10 10 5 4 14 8 0 6 11 7 12 15
97 17 10 11 5 4 14 8 0 6 11 7 12 15
98 17 10 11 5 4 14 8 0 6 11 7 12 15
99 17 10 11 5 4 14 8 0 6 11 7 12 15
100 17 10 11 5 4 14 8 0 6 11 7 12 15
101 17 10 11 5 4 14 8 0 6 11 7 12 15
102 17 10 11 5 4 14 8 0 6 11 7 12 15
103 17 10 11 5 4 14 8 0 6 11 7 12 15
104 17 10 11 5 4 14 8 0 6 11 7 12 15
105 17 10 11 5 4 14 8 0 6 11 7 12 15
106 17 10 11 5 4 14 8 0 6 11 7 12 15
107 17 10 11 5 4 14 8 0 6 11 7 12 15
108 17 10 11 5 4 14 8 0 6 11 7 12 15
109 17 10 11 5 4 14 8 0 6 11 7 12 15
110 17 10 11 5 4 14 8 0 6 11 7 12 15
111 17 10 11 5 4 14 8 0 6 11 7 12 15
112 17 10 11 5 4 14 8 0 6 11 7 12 15
113 17 10 11 5 4 14 8 0 6 11 7 12 15
114 17 10 11 5 4 14 8 0 6 11 7 12 15
115 17 10 11 5 4 14 8 0 6 11 7 12 15
116 17 10 11 5 4 14 8 0 6 11 7 12 15
117 17 10 11 5 4 14 8 0 6 11 7 12 15
118 17 10 11 5 4 14 8 0 6 11 7 12 15
119 17 10 11 5 4 14 8 0 6 11 7 12 15
120 17 10 11 5 4 14 8 0 6 11 7 12 15
121 17 10 11 5 4 14 8 0 6 11 7 12 15
122 17 10 11 5 4 14 8 0 6 11 7 12 15
123 17 10 11 5 4 14 8 0 6 11 7 12 15
124 17 10 11 5 4 14 8 0 6 11 7 12 15
125 17 10 11 5 4 14 8 0 6 11 7 12 15
126 17 10 11 5 4 14 8 0 6 11 7 12 15
