#IDXCOL=1,DATACOL=6,SEP=' '
timeStep areaDensityCounting-PID5 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11
1 0 0 12 0 10 6
2 0 0 12 0 10 6
3 3 4 16 5 13 9
4 3 6 13 7 13 10
5 4 7 13 8 10 13
6 4 7 13 10 7 17
7 6 8 11 10 7 18
8 7 8 11 11 6 17
9 8 9 10 11 6 16
10 8 11 9 10 6 16
11 8 11 9 10 6 16
12 8 10 11 9 5 16
13 8 10 11 9 5 16
14 11 8 11 11 5 14
15 11 10 10 9 6 14
16 11 10 10 8 7 14
17 11 10 10 9 6 14
18 11 9 11 8 7 14
19 11 7 12 7 8 14
20 11 7 12 8 6 14
21 11 8 12 8 6 14
22 11 8 11 8 8 14
23 11 9 11 8 7 14
24 11 7 13 9 6 14
25 11 8 13 8 6 14
26 11 10 10 8 7 14
27 10 10 10 9 6 15
28 10 10 9 8 7 15
29 11 10 9 7 8 14
30 11 9 10 9 7 14
31 12 9 10 9 7 13
32 12 9 10 9 7 13
33 11 8 11 9 7 14
34 11 8 11 8 8 14
35 11 7 11 9 7 15
36 11 8 10 10 6 15
37 11 7 11 10 6 15
38 11 9 10 10 6 14
39 10 10 9 10 6 15
40 9 10 9 8 8 14
41 10 9 10 8 8 14
42 11 7 10 9 8 14
43 11 7 10 8 9 14
44 10 8 9 9 8 15
45 10 7 10 11 6 15
46 9 8 10 9 8 15
47 10 9 9 9 8 14
48 10 10 7 8 9 15
49 10 8 9 8 9 15
50 10 8 9 9 8 15
51 10 8 9 11 7 15
52 9 10 8 9 9 15
53 9 9 8 10 8 15
54 10 8 8 9 10 14
55 10 6 10 10 10 13
56 10 6 9 10 10 13
57 10 6 9 12 8 13
58 10 7 8 11 10 13
59 9 7 8 12 9 14
60 9 7 8 13 9 14
61 9 6 9 13 9 14
62 9 8 7 12 10 14
63 9 9 8 10 11 13
64 9 10 7 10 11 13
65 9 8 10 11 9 13
66 9 8 8 11 11 13
67 9 8 8 12 10 13
68 10 8 8 12 10 12
69 9 8 8 11 11 13
70 9 8 8 13 9 13
71 8 9 8 13 8 14
72 8 9 8 12 8 14
73 8 9 8 11 9 14
74 8 10 8 11 9 14
75 8 10 8 11 9 14
76 9 10 7 11 9 12
77 8 10 7 11 9 13
78 8 9 8 11 10 14
79 8 9 9 11 10 13
80 8 11 8 11 10 12
81 8 9 9 12 9 13
82 8 11 7 12 9 13
83 9 8 9 11 10 13
84 9 8 10 12 9 12
85 9 9 10 11 9 12
86 8 10 8 12 9 13
87 8 10 8 12 9 13
88 8 10 7 13 9 13
89 8 9 8 14 8 13
90 8 9 7 14 8 14
91 8 10 6 12 10 14
92 9 8 7 11 11 14
93 9 8 7 11 11 14
94 10 8 7 11 11 13
95 10 8 6 12 11 13
96 10 8 7 11 12 12
97 9 8 8 12 10 13
98 9 9 6 12 10 13
99 8 10 6 13 8 14
100 9 10 5 13 9 13
101 9 9 6 13 9 14
102 9 9 8 13 7 14
103 9 9 7 13 7 14
104 8 8 8 10 10 15
105 9 9 7 12 9 14
106 9 9 8 11 8 14
107 9 10 6 11 9 14
108 9 9 7 11 10 14
109 9 10 6 12 9 14
110 10 10 6 12 8 14
111 12 10 5 12 9 12
112 12 9 6 12 9 12
113 11 9 5 12 9 13
114 11 12 3 12 9 12
115 11 9 6 11 10 12
116 13 9 6 11 10 11
117 13 9 6 12 9 11
118 12 7 9 13 7 12
119 12 7 9 13 7 12
120 11 8 7 12 9 13
121 11 8 7 12 9 13
122 9 9 7 11 10 14
123 10 10 6 11 10 13
124 11 11 7 11 8 12
125 10 11 7 11 8 12
126 10 9 8 12 8 12
127 10 11 7 12 7 12
128 12 11 7 11 8 10
129 12 12 6 10 8 10
130 12 12 7 12 6 10
131 11 12 7 13 6 10
132 11 11 9 12 6 10
133 11 12 8 13 5 9
134 12 11 9 13 5 8
135 12 12 8 11 7 8
136 12 13 8 11 7 8
137 12 14 7 11 7 8
138 13 12 10 10 7 7
139 12 12 9 10 8 8
140 12 12 9 10 8 8
141 12 12 9 10 8 8
142 11 14 8 10 8 9
143 11 13 9 11 6 9
144 12 14 7 11 6 9
145 13 13 7 13 5 8
146 13 13 7 12 6 8
147 14 14 6 12 5 8
148 12 13 7 12 6 10
149 13 13 7 12 6 9
150 13 13 7 11 7 9
151 12 13 10 10 6 9
152 13 14 8 10 7 8
153 13 15 7 11 6 8
154 14 16 6 10 7 7
155 13 16 7 11 5 8
156 12 16 7 11 5 9
157 13 16 7 11 5 8
158 13 16 7 11 5 8
159 13 15 8 11 5 8
160 13 14 9 11 5 8
161 13 14 9 11 5 8
162 13 14 9 11 4 9
163 13 14 9 9 6 9
164 15 14 9 9 6 7
165 15 14 11 9 5 6
166 15 16 9 9 5 6
167 14 16 9 9 5 7
168 14 16 9 8 6 7
169 15 16 8 8 6 7
170 14 16 8 9 5 8
171 14 15 9 10 4 8
172 14 14 10 10 4 8
173 15 14 10 9 5 7
174 14 14 11 9 5 7
175 13 13 11 9 5 9
176 13 13 11 9 5 9
177 14 13 12 9 5 7
178 13 13 12 10 4 8
179 13 15 10 9 5 8
180 14 16 9 9 5 7
181 13 16 9 9 5 8
